date,day,month,year,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,age_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
2014-10-13,13,10,2014,221900.0,3.0,1.0,1180.0,5650.0,1.0,0,0,3,7,1180.0,0,59.0,0,98178,47.5112,-122.257,1340.0,5650.0
2014-12-09,9,12,2014,538000.0,3.0,2.25,2570.0,7242.0,2.0,0,0,3,7,2170.0,400,63.0,1991,98125,47.721000000000004,-122.319,1690.0,7639.0
2015-02-25,25,2,2015,180000.0,2.0,1.0,770.0,10000.0,1.0,0,0,3,6,770.0,0,82.0,0,98028,47.7379,-122.23299999999999,2720.0,8062.0
2014-12-09,9,12,2014,604000.0,4.0,3.0,1960.0,5000.0,1.0,0,0,5,7,1050.0,910,49.0,0,98136,47.5208,-122.39299999999999,1360.0,5000.0
2015-02-18,18,2,2015,510000.0,3.0,2.0,1680.0,8080.0,1.0,0,0,3,8,1680.0,0,28.0,0,98074,47.6168,-122.045,1800.0,7503.0
2014-06-27,27,6,2014,257500.0,3.0,2.25,1715.0,6819.0,2.0,0,0,3,7,1715.0,0,19.0,0,98003,47.3097,-122.32700000000001,2238.0,6819.0
2015-01-15,15,1,2015,291850.0,3.0,1.5,1060.0,9711.0,1.0,0,0,3,7,1060.0,0,52.0,0,98198,47.4095,-122.315,1650.0,9711.0
2015-04-15,15,4,2015,229500.0,3.0,1.0,1780.0,7470.0,1.0,0,0,3,7,1050.0,730,55.0,0,98146,47.5123,-122.337,1780.0,8113.0
2015-03-12,12,3,2015,323000.0,3.0,2.5,1890.0,6560.0,2.0,0,0,3,7,1890.0,0,12.0,0,98038,47.3684,-122.031,2390.0,7570.0
2015-04-03,3,4,2015,662500.0,3.0,2.5,3560.0,9796.0,1.0,0,0,3,8,1860.0,1700,50.0,0,98007,47.6007,-122.145,2210.0,8925.0
2014-05-27,27,5,2014,468000.0,2.0,1.0,1160.0,6000.0,1.0,0,0,4,7,860.0,300,72.0,0,98115,47.69,-122.292,1330.0,6000.0
2014-05-28,28,5,2014,310000.0,3.0,1.0,1430.0,19901.0,1.5,0,0,4,7,1430.0,0,87.0,0,98028,47.7558,-122.229,1780.0,12697.0
2014-10-07,7,10,2014,400000.0,3.0,1.75,1370.0,9680.0,1.0,0,0,4,7,1370.0,0,37.0,0,98074,47.6127,-122.045,1370.0,10208.0
2015-03-12,12,3,2015,530000.0,5.0,2.0,1810.0,4850.0,1.5,0,0,3,7,1810.0,0,115.0,0,98107,47.67,-122.39399999999999,1360.0,4850.0
